id,runDuration
56691147,20
56691148,120.97
56691149,99.13
56691150,20
56691151,40.06
56691152,54.52
56691154,20
56691155,29.58
56691156,187.12
56691157,20
56691159,20
56691160,20
56691161,20
56691162,187.03
56691163,20
56691164,20
56691166,144.9
56691167,33.77
56691168,30.54
56691169,161.92
56691170,189.2
56691173,27.4
56691175,20
56691177,215.89
56691179,500
56691180,20
56691181,20
56691182,57.62
56691183,20
56691185,26.35
56691186,43.04
56691187,20
56691188,68.35
56691189,20
56691190,20
56691191,20
56691192,20
56691193,20
56691194,20
56691195,20
56691196,20
56691197,20
56691198,33.96
56691199,20
56691200,253.42
56691201,59
56691202,293.77
56691203,20
56691204,20
56691206,20
56691207,20
56691208,20
56691209,20
56691210,21.57
56691211,30.54
56691212,20
56691213,21.1
56691214,88.16
56691215,51.13
56691216,90.35
56691217,331.1
56691218,20
56691220,38.53
56691221,25.19
56691222,20
56691224,49.82
56691225,20
56691226,20
56691227,20
56691228,30.82
56691230,107.85
56691231,117.12
56691234,136.8
56691235,162.4
56691236,43.63
56691238,350
56691239,204.25
56691240,215.71
56691243,220.73
56691244,107.95
56691245,500
56691247,273.42
56691248,258.36
56691249,500
56691250,39.19
56691251,62.92
56691253,38.26
56691254,20
56691255,20
56691256,20
56691257,33.21
56691258,21.63
56691259,28.4
56691260,76.53
56691261,20
56691262,158.31
56691265,20
56691266,20
56691267,20
56691268,62.11
56691269,20
56691270,20
56691271,20
56691272,60.94
56691273,75.89
56691274,25.3
56691275,78.06
56691276,20
56691277,20
56691278,20
56691279,20
56691280,54.14
56691282,20
56691283,43.94
56691284,20
56691285,20
56691286,49.75
56691287,20
56691288,33.61
56691289,20
56691290,20
56691291,20
56691292,20
56691293,59.46
56691294,48.18
56691295,20
56691296,41.63
56691297,39.36
56691298,20
56691299,20
56691300,20
56691301,23.37
56691302,34.58
56691304,23.53
56691306,20
56691307,32.58
56691308,75.16
56691309,82.19
56691310,62.16
56691311,102.57
56691312,24.41
56691315,26.03
56691316,20
56691317,20
56691318,21.64
56691319,45.18
56691321,20
56691322,33.11
56691324,20
56691325,31.74
56691327,50.49
56691328,249.59
56691331,82.05
56691333,20
56691335,20
56691337,20
56691339,21.86
56691340,38.75
56691341,24.91
56691342,26.06
56691343,26.98
56691345,20
56691349,110.37
56691350,397.32
56691351,500
56691354,59.88
56691357,86.36
56691358,101.1
56691359,28.4
56691361,20
56691362,20
56691363,20
56691366,254.52
56691367,500
56691368,92.52
56691370,21.67
56691371,165.55
56691372,100
56691373,20
56691374,51.92
56691375,27.77
56691376,52.85
56691378,20.32
56691379,20
56691380,20
56691382,113.48
56691383,36.05
56691384,140.62
56691385,112.49
56691386,73.37
56691387,20
56691388,25.29
56691389,28.14
56691390,28.78
56691391,28.92
56691392,22.53
56691393,26.77
56691394,40.49
56691395,20
56691397,25.48
56691398,20
56691401,32.64
56691402,68.71
56691404,90.41
56691405,61.04
56691407,20
56691408,20
56691410,37.86
56691411,140.77
56691413,20
56691414,107.47
56691415,20
56691416,20
56691417,161.37
56691418,20
56691419,20
56691420,20
56691421,20
56691422,20
56691424,20
56691425,20
56691426,20
56691427,26.49
56691428,20
56691433,78.7
56691436,49.39
56691437,295.89
56691441,20
56691442,20
56691443,27.95
56691444,49.37
56691445,43.9
56691446,57.51
56691448,58.37
56691449,24.62
56691450,29.91
56691451,124.92
56691452,20
56691453,27.05
56691454,60.87
56691455,51.89
56691456,49.69
56691457,20
56691458,20
56691459,38.37
56691460,21.83
56691461,48.32
56691462,20
56691464,96.21
56691465,93.12
56691467,90.14
56691468,20
56691469,500
56691472,35.39
56691475,20
56691476,27.51
56691477,20
56691478,500
56691479,20
56691480,52.9
56691481,162.26
56691482,373.15
56691483,20
56691484,20
56691485,20
56691487,30.72
56691488,69.67
56691489,20
56691491,23.45
56691492,39.04
56691493,20
56691494,261.64
56691495,84.31
56691497,20
56691498,20
56691499,50.69
56691501,162.04
56691502,95.38
56691503,62.98
56691507,143.81
56691509,94.71
56691510,20.9
56691511,202.69
56691512,50.11
56691513,20
56691514,29.44
56691515,75.57
56691518,20
56691519,157.04
56691520,20
56691521,20
56691523,20
56691524,20
56691526,20
56691527,20
56691528,20
56691529,31.65
56691530,28.52
56691531,30.56
56691532,20
56691534,23.74
56691535,20
56691536,21.56
56691537,167.6
56691538,66.22
56691539,188.74
56691540,63.99
56691541,164.93
56691543,20
56691544,94.89
56691548,20
56691549,61.14
56691550,20
56691551,26.95
56691552,120.96
56691554,20
56691555,129.81
56691556,26.18
56691559,20
56691561,75
56691562,61.82
56691564,45.15
56691566,216.35
56691567,33.96
56691569,96.05
56691570,69.23
56691572,20
56691573,20
56691574,53.93
56691575,21.82
56691576,43.59
56691577,183.06
56691578,107.85
56691579,20
56691580,20
56691582,67.52
56691583,32.16
56691584,258.08
56691586,39.75
56691587,209.48
56691588,31.04
56691590,20
56691592,20
56691593,68.25
56691594,24.42
56691595,86.23
56691596,165.55
56691597,20
56691598,29.39
56691599,38.96
56691600,173.84
56691601,56.1
56691602,23.81
56691604,52.51
56691605,32.12
56691606,20
56691607,20
56691608,55.29
56691609,39.77
56691610,20
56691611,39.41
56691612,30.13
56691613,131.01
56691614,66.89
56691615,65.29
56691617,39.29
56691618,20.19
56691619,71.98
56691622,20
56691625,20
56691626,20
56691627,20
56691628,43.6
56691629,33.81
56691630,85.82
56691631,35.01
56691632,45.7
56691637,20
56691638,34.24
56691639,109.82
56691640,20
56691642,21.63
56691643,130.25
56691644,20
56691645,132.44
56691646,92.27
56691647,20
56691648,51.25
56691649,48.54
56691650,323.84
56691651,20
56691652,433.7
56691654,80.96
56691656,84.55
56691657,52.86
56691658,25.45
56691659,251.69
56691660,113.73
56691661,132.44
56691664,20
56691665,75.62
56691666,20
56691668,20
56691669,151.98
56691670,20
56691671,52.59
56691672,24.26
56691674,20.85
56691675,27.08
56691676,54.11
56691677,35.84
56691678,254.79
56691679,24.44
56691680,63.16
56691681,20
56691682,20.13
56691684,20
56691687,20
56691689,54.83
56691691,24.51
56691692,20
56691693,302.03
56691696,52.7
56691697,48.13
56691699,38.55
56691700,75.58
56691701,20
56691702,45.93
56691703,34.65
56691704,35.32
56691706,30.82
56691708,20
56691709,161.92
56691710,20
56691711,20.27
56691713,20
56691715,32.8
56691716,28.51
56691720,331.1
56691721,165.55
56691722,57.97
56691724,49.78
56691725,27.02
56691726,20
56691727,20
56691729,69.51
56691730,55.25
56691731,331.1
56691732,35.28
56691734,20
56691735,80.53
56691736,52.84
56691737,20
56691740,419.73
56691741,20
56691743,20
56691744,107.85
56691745,20
56691751,20
56691752,48.45
56691753,20
56691754,20
56691755,75.88
56691756,20
56691759,24.08
56691760,45.37
56691761,27.21
56691763,34.55
56691764,52.05
56691766,53.08
56691767,20
56691768,20
56691770,24.13
56691772,20
56691773,24.32
56691774,43.01
56691775,220.73
56691777,20
56691778,20
56691779,61.4
56691780,20
56691781,72.45
56691784,24.4
56691785,20
56691786,85.72
56691787,29.52
56691788,64.58
56691789,21.36
56691791,500
56691792,20
56691793,20
56691795,59.77
56691796,20
56691797,22.86
56691798,20
56691800,20
56691801,261.16
56691803,20
56691804,20
56691805,113.74
56691809,161.78
56691810,38.67
56691811,33.66
56691812,20
56691813,20
56691814,20
56691815,22.29
56691817,66.48
56691818,21.04
56691820,80.65
56691821,414.06
56691822,220.53
56691823,27.44
56691824,69.32
56691825,138.44
56691826,84.45
56691829,252.88
56691831,73.58
56691832,40.34
56691833,23.02
56691834,112.93
56691835,98.32
56691836,138.21
56691837,110.56
56691838,100.62
56691839,80.96
56691840,28.18
56691841,110.37
56691843,23.71
56691844,70.43
56691848,20
56691850,20
56691851,28.14
56691852,30.71
56691855,64.41
56691856,39.68
56691857,47.79
56691858,117.23
56691861,228.99
56691862,40.48
56691863,113.04
56691864,500
56691865,331.1
56691867,48.99
56691869,364.93
56691870,32.47
56691871,23.27
56691873,329.86
56691874,189.2
56691876,28.29
56691877,215.89
56691878,70.07
56691879,323.84
56691880,43.99
56691882,176.62
56691883,44.69
56691884,79.09
56691885,105.53
56691886,344.66
56691887,20
56691888,500
56691889,39.17
56691890,26.61
56691893,165.55
56691894,20
56691898,94.6
56691899,52.81
56691901,20
56691902,48.73
56691904,20
56691905,188.86
56691907,22.02
56691908,142.01
56691910,165.55
56691911,46.46
56691912,63.64
56691915,96.22
56691916,20
56691919,20
56691920,20
56691922,20
56691926,57.18
56691927,133.42
56691928,133.42
56691930,20
56691931,20
56691932,20
56691933,72.5
56691934,75.91
56691935,20
56691936,20
56691937,92.45
56691938,58.83
56691939,71.96
56691940,20
56691942,20
56691943,20
56691944,161.92
56691945,20
56691946,42.8
56691947,66.06
56691948,20
56691950,33.01
56691951,500
56691952,346.99
56691953,20
56691954,195.84
56691955,197.95
56691957,64.65
56691958,182.19
56691959,38.43
56691960,215.89
56691961,44.26
56691962,100.19
56691963,20
56691964,23.72
56691966,76.19
56691967,20
56691968,20
56691969,26.15
56691970,20
56691971,20
56691972,20
56691973,113.27
56691974,20
56691975,26.39
56691976,64.77
56691977,22.99
56691978,79.18
56691979,61.53
56691980,31.49
56691982,20
56691983,20
56691984,20
56691985,20
56691986,30.23
56691987,104.11
56691988,20
56691989,91.51
56691990,500
56691991,20
56691993,31.75
56691994,88.22
56691995,130.2
56691996,86.45
56691997,90.14
56691999,108.64
56692000,58.83
56692001,22.2
56692003,20
56692004,22.66
56692007,32.49
56692008,20
56692009,30.29
56692010,37.28
56692011,20
56692012,45.77
56692013,26.91
56692014,20
56692015,20
56692016,69.3
56692017,28.54
56692018,20
56692019,59.07
56692020,59.92
56692021,108.31
56692022,20
56692023,65.25
56692024,20
56692025,20
